# %ECSV 1.0
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: spec_box, datatype: float64}
# - {name: var_box, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt spec_box var_box
59455.35209458 2459455.8573147994 214.82393234968185 24.39901940524578 0.0 2.0 0.0 661984731.3496094 677881367.5546875 661504067.2226562 680410881.5234375
59455.35280069 2459455.8580208695 215.84067329764366 25.415760353207588 0.0 2.0 1.0 662867894.2109375 678804468.2109375 662333383.8149414 681266542.6601562
59455.35350662 2459455.8587267585 216.85715340077877 26.432240456342697 0.0 2.0 0.0 661883188.8959961 677769589.0117188 661406316.0205078 680314104.3320312
59455.35421273 2459455.8594328267 217.87389166653156 27.44897872209549 0.0 2.0 1.0 662826308.5478516 678743183.3984375 662319233.3325195 681230450.9882812
59455.354918655 2459455.8601387087 218.89036171138287 28.465448766946793 0.0 2.0 0.0 661881755.996582 677808771.3671875 661392517.8696289 680340716.8632812
59455.355624765 2459455.8608447756 219.9070979654789 29.482185021042824 0.0 2.0 1.0 662762388.7973633 678749498.9257812 662244225.1748047 681298708.4101562
59455.35633069 2459455.8615506557 220.92356532812119 30.498652383685112 0.0 2.0 0.0 661902032.581543 677837790.9296875 661420502.2412109 680354187.109375
59455.357036805 2459455.8622567253 221.94030560553074 31.515392661094666 0.0 2.0 1.0 662672193.1318359 678641693.0429688 662179738.8164062 681153233.90625
59455.35774273 2459455.8629626045 222.95677162706852 32.531858682632446 0.0 2.0 0.0 661824289.0307617 677765894.2070312 661359072.8647461 680314194.0976562
59455.358448839994 2459455.863668668 223.97350318729877 33.5485902428627 0.0 2.0 1.0 662784672.8969727 678719662.8945312 662262751.3857422 681174077.8476562
59455.359154765 2459455.8643745454 224.98996652662754 34.56505358219147 0.0 2.0 0.0 661840537.6220703 677795207.6875 661360056.4716797 680324836.0078125
59455.359860875 2459455.8650806076 226.00669607520103 35.58178313076496 0.0 2.0 1.0 662792110.7290039 678785629.2460938 662265413.8295898 681245211.9726562
59455.360566805 2459455.865786489 227.02316544950008 36.59825250506401 0.0 2.0 0.0 661798420.1225586 677714224.3710938 661308077.0092773 680239531.5820312
59455.361272915005 2459455.8664925494 228.03989231586456 37.61497937142849 0.0 2.0 1.0 662653880.7075195 678565564.9492188 662134567.6831055 681039387.7695312
59455.361978839996 2459455.8671984253 229.05635364353657 38.631440699100494 0.0 2.0 0.0 661801497.7470703 677737973.0585938 661343393.8989258 680277732.0351562
59455.36268495 2459455.8679044857 230.07308050990105 39.64816756546497 0.0 2.0 1.0 662646934.6513672 678561700.3203125 662111004.8833008 681033321.4257812
59455.363390875 2459455.8686103607 231.08954049646854 40.66462755203247 0.0 2.0 0.0 661783142.2753906 677703753.8867188 661329293.2553711 680252347.3007812
59455.36409699 2459455.869316425 232.1062733978033 41.68136045336723 0.0 2.0 1.0 662540934.7568359 678459102.5976562 662024367.2993164 680940051.0820312
59455.40133069 2459455.9065482863 285.7201534509659 0.0 0.0 3.0 0.0 660154648.2553711 676139499.734375 659707495.2729492 678743269.5546875
