================== ==================
        time_model         flux_model
 2459685.025580198                1.0
2459685.0275914273                1.0
 2459685.029602657                1.0
2459685.0316138864                1.0
2459685.0336251156                1.0
 2459685.035636345                1.0
2459685.0376475747                1.0
 2459685.039658804                1.0
2459685.0416700332                1.0
2459685.0436812625                1.0
 2459685.045692492                1.0
2459685.0477037216                1.0
 2459685.049714951                1.0
  2459685.05172618                1.0
2459685.0537374094                1.0
 2459685.055748639                1.0
2459685.0577598684                1.0
2459685.0597710977                1.0
 2459685.061782327                1.0
2459685.0637935568                1.0
 2459685.065804786                1.0
2459685.0678160153                1.0
2459685.0698272446                1.0
2459685.0718384744                1.0
2459685.0738497037                1.0
 2459685.075860933                1.0
 2459685.077872162                1.0
 2459685.079883392                1.0
2459685.0818946213                1.0
2459685.0839058505                1.0
  2459685.08591708                1.0
2459685.0879283096                1.0
 2459685.089939539                1.0
 2459685.091950768                1.0
2459685.0939619974                1.0
 2459685.095973227                1.0
2459685.0979844565                1.0
2459685.0999956857                1.0
 2459685.102006915                1.0
 2459685.104018145                1.0
 2459685.106029374                1.0
2459685.1080406033                1.0
2459685.1100518326                1.0
 2459685.112063062                1.0
2459685.1140742917                1.0
 2459685.116085521                1.0
  2459685.11809675                1.0
2459685.1201079795                1.0
2459685.1221192093                1.0
2459685.1241304385                1.0
 2459685.126141668                1.0
 2459685.128152897                1.0
 2459685.130164127                1.0
 2459685.132175356                1.0
2459685.1341865854                1.0
2459685.1361978147                1.0
2459685.1382090445                1.0
2459685.1402202738                1.0
 2459685.142231503                1.0
2459685.1442427323                1.0
 2459685.146253962                1.0
2459685.1482651914                1.0
2459685.1502764206                1.0
  2459685.15228765                1.0
2459685.1542988797                1.0
 2459685.156310109                1.0
2459685.1583213382                1.0
2459685.1603325675                1.0
2459685.1623437973                1.0
2459685.1643550266                1.0
 2459685.166366256                1.0
 2459685.168377485                1.0
 2459685.170388715                1.0
 2459685.172399944                1.0
2459685.1744111734                1.0
2459685.1764224027                1.0
 2459685.178433632                1.0
2459685.1804448618                1.0
 2459685.182456091                1.0
2459685.1844673203                1.0
2459685.1864785496                1.0
2459685.1884897794                1.0
2459685.1905010086                1.0
 2459685.192512238                1.0
 2459685.194523467                1.0
 2459685.196534697                1.0
2459685.1985459263                1.0
2459685.2005571555                1.0
 2459685.202568385                1.0
2459685.2045796146                1.0
 2459685.206590844                1.0
 2459685.208602073                1.0
2459685.2106133024                1.0
 2459685.212624532                1.0
2459685.2146357615                1.0
2459685.2166469907                1.0
  2459685.21865822                1.0
  2459685.22066945                1.0
 2459685.222680679                1.0
2459685.2246919083                1.0
2459685.2267031376                1.0
2459685.2287143674                1.0
2459685.2307255967                1.0
 2459685.232736826                1.0
 2459685.234748055                1.0
 2459685.236759285                1.0
2459685.2387705143                1.0
2459685.2407817435                1.0
 2459685.242792973                1.0
 2459685.244804202                1.0
 2459685.246815432                1.0
 2459685.248826661                1.0
2459685.2508378904                1.0
2459685.2528491197                1.0
2459685.2548603495                1.0
2459685.2568715787                1.0
 2459685.258882808                1.0
2459685.2608940373                1.0
 2459685.262905267                1.0
2459685.2649164964                1.0
2459685.2669277256                1.0
 2459685.268938955                1.0
2459685.2709501847                1.0
 2459685.272961414                1.0
2459685.2749726432                1.0
2459685.2769838725                1.0
2459685.2789951023                1.0
2459685.2810063316                1.0
 2459685.283017561                1.0
  2459685.28502879                1.0
